Name;PClass;Age;SexCode;Survived
Danbom, Master Gilbert Sigvard Emanuel;3;0.33;0;0
Danoff, Mr Yoto;3;27;0;0
Dantchoff, Mr Khristo;3;25;0;0
Davies, Mr Alfred;3;24;0;0
Davies, Mr Evan;3;22;0;0
Davies, Mr John;3;21;0;0
Davies, Mr Joseph;3;17;0;0
Dean, Mr Bertram;3;26;0;0
Dean, Mrs Bertram (Eva);3;33;1;1
Dean, Master Bertram Vere;3;1;0;1
Dean, Miss Elizabeth Gladys (Millvena);3;0.17;1;1
Delalic, Mr Regyo;3;25;0;0
De Messemaeker, Mr William Joseph;3;36;0;1
De Messemaeker, Mrs William Joseph (Anna);3;36;1;1
De Mulder, Mr Theo;3;30;0;1
Dennis, Mr Samuel;3;23;0;0
Dennis, Mr William;3;26;0;0
Devaney, Miss Margaret;3;19;1;1
Dewan, Mr Frank;3;65;0;0
Dimic, Mr Jovan;3;42;0;0
Dintcheff, Mr Valtcho;3;43;0;0
Dooley, Mr Patrick;3;32;0;0
Dorkings, Mr Edward Arthur;3;19;0;1
Dowdell, Miss Elizabeth;3;30;1;1
Doyle, Miss Elizabeth;3;24;1;0
Drapkin, Miss Jennie;3;23;1;1
Driscoll, Miss Bridget;3;24;1;1
Duquemin, Mr Joseph;3;24;0;1
Dyker, Mr Adolf Fredrik;3;23;0;0
Dyker, Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson);3;22;1;1
Edvardsson, Mr Gustaf Hjalmar;3;18;0;0
Eklund, Mr Hans Linus;3;16;0;0
Ekstrom, Mr Johan;3;45;0;0
Elsbury, Mr James;3;47;0;0
Emanuel, Miss Virginia Ethel;3;5;1;1
Ford, Miss Doolina Margaret;3;21;1;0
Ford, Mr Edward Watson;3;18;0;0
Ford, Miss Maggie;3;9;1;0
Ford, Mrs Edward (Margaret Ann);3;48;1;0
Ford, Mr Neil Watson;3;16;0;0
Gallagher, Mr Martin;3;25;0;0
Georges, Mrs Shahini Weappi;3;38;1;1
Gilinski, Mr Leslie;3;22;0;0
Gilnagh, Miss Katie;3;16;1;1
Goldsmith, Mr Frank John;3;33;0;0
Goldsmith, Master Frank John William;3;9;0;1
Goldsmith, Mr Nathan;3;41;0;0
Goncalves, Mr Manuel Estanslas;3;38;0;0
Goodwin, Mr Frederick;3;40;0;0
Goodwin, Mrs Frederick (Augusta);3;43;1;0
Goodwin, Mr Charles E;3;14;0;0
Goodwin, Miss Lillian A;3;16;1;0
Goodwin, Master Harold V;3;9;0;0
Goodwin, Miss Jessie A;3;10;1;0
Goodwin, Master Sidney L;3;6;0;0
Goodwin, Master William F;3;11;0;0
Green, Mr George;3;40;0;0
Gronnestad, Mr Daniel Danielsen;3;32;0;0
Gustafsson, Mr Alfred Ossian;3;20;0;0
Gustafsson, Mr Anders Vilhelm;3;37;0;0
Gustafsson, Mr Johan Birger;3;28;0;0
Gustafsson, Mr Karl Gideon;3;19;0;0
Haas, Miss Aloisia;3;24;1;0
Hagardon, Miss Kate;3;17;1;0
Hakkarainen, Mr Pekko Pietari;3;28;0;0
Hakkarainen, Mrs Pekko Pietari;3;24;1;1
Hampe, Mr Leon;3;20;0;0
Hansen, Mr Claus Peter;3;41;0;0
Hansen, Mrs Claus Peter;3;45;1;1
Hansen, Mr Henrik Juul;3;26;0;0
Hansen, Mr Henry Damsgaard;3;21;0;0
Hedman, Mr Oscar;3;27;0;1
Hegarty, Miss Nora;3;18;1;0
Heikkinen, Miss Laina;3;26;1;1
Heininen, Miss Wendla Maria;3;23;1;0
Hellstrom, Hilda Maria;3;22;1;1
Henriksson, Jenny Lovisa;3;28;1;0
Hirvonen, Mrs Alexander;3;22;1;1
Hirvonen, Miss Hildur E;3;2;1;0
Holm, Mr John Frederik Alexander;3;43;0;0
Honkanen, Miss Eluna;3;27;1;1
Humblin, Mr Adolf Mathias Nicolai Olsen;3;42;0;0
Ilmakangas, Miss Ida Livija;3;27;1;0
Ilmakangas, Miss Pieta Sofia;3;25;1;0
Jansen, Mr Carl Olof;3;27;0;1
Jensen, Miss Carla Christine;3;19;1;1
Jensen, Mr Hans Peder;3;20;0;0
Jensen, Mr Niels Peder;3;48;0;0
Jensen, Mr Svend Lauritz;3;17;0;0
Johanson, Mr Jakob Alfred;3;34;0;0
Johansson, Mr Erik;3;22;0;0
Johansson, Mr Gustaff Joel;3;33;0;0
Johansson, Mr Karl Johan;3;32;0;1
Johansson, Mr Nils;3;29;0;0
Johansson, Oscar L;3;26;0;1
Johnson, Mr Alfred;3;49;0;0
Johnson, Miss Eleanor Ileen;3;1;1;1
Johnson, Mr Malkolm Joackim;3;33;0;0
Johnson, Master Harold Theodor;3;4;0;1
Johnson, Mrs Oscar W;3;24;1;0
Johnson, Mr William Cahoone Jr;3;19;0;0
Jonsson, Mr Carl;3;32;0;1
Jonsson, Nils Hilding;3;27;0;0
Jussila, Miss Aina Maria;3;21;1;0
Jussila, Mr Erik;3;32;0;1
Jussila, Miss Katriina;3;20;1;0
Kallio, Mr Nikolai Erland;3;17;0;0
Kalvig, Mr Johannes K Halverson;3;21;0;0
Karajic, Mr Milan;3;30;0;0
Karlsson, Mr Einar Gervasius;3;21;0;1
Karlsson, Mr Julius Konrad Eugen;3;23;0;0
Karlsson, Mr Nils August;3;22;0;0
Karun, Miss Anna Mary;3;4;1;1
Karun, Mr Franz;3;39;0;0
Keane, Mr Andrew;3;20;0;0
Kelly, Miss Anna Kate;3;21;1;1
Kelly, Mr James;3;44;0;0
Kelly, Mr James;3;42;0;0
Kelly, Miss Mary;3;21;1;1
Kennedy, Mr John;3;24;0;0
Kiernan, Mr John;3;25;0;0
Kiernan, Mr Philip;3;22;0;0
Kilgannon, Mr Thomas;3;22;0;0
Kink, Mr Anton;3;39;0;1
Kink, Mrs Anton (Louise Heilmann);3;26;1;0
Kink, Miss Louise Gretchen;3;4;1;1
Kink, Miss Maria;3;22;1;0
Kink, Mr Vincenz;3;26;0;0
Klasen, Miss Gertrud Emilia;3;1.5;1;0
Klasen, Mrs Hulda Kristina;3;36;1;0
Klasen, Mr Klas Albin;3;18;0;0
Krekorian, Mr Neshan;3;25;0;1
Laitinen, Miss Kritina Sofia;3;37;1;0
Landegren, Miss Aurora Adelia;3;22;1;1
Lane, Mr Patrick;3;20;0;0
Lang, Mr Fang;3;26;0;1
Larsson, Mr August Viktor;3;29;0;0
Larsson, Mr Bengt Edvin;3;29;0;0
Larsson-Rondberg, Mr Edvard;3;22;0;0
Leinonen, Mr Antti Gustaf;3;32;0;0
Lemom, Mr Denis;3;21;0;0
Lemon, Miss Mary;3;21;1;0
Leonard, Mr Lionel;3;36;0;0
Lester, Mr James;3;39;0;0
Lindahl, Miss Agda V;3;25;1;0
Lindblom, Miss Augusta Charlotta;3;45;1;0
Lindell, Mr Edvard Bengtsson;3;36;0;0
Lindell, Mrs Edvard Bengtsson;3;30;1;0
Lindqvist, Eino William;3;20;0;1
Melkebuk, Mrs Philemon;3;23;1;0
Salander, Mr Karl Johan;3;21;0;0
Sandstrom, Miss Beatrice Irene;3;1.5;1;0
Tornquist, Mr William Henry;3;25;0;1
Turja, Miss Anna Sofia;3;18;1;1
Turkula, Mrs Hedvig;3;63;1;1
Van der Planke, Miss Augusta;3;18;1;0
Van der Planke, Mr Jules;3;31;0;0
Van der Planke, Mrs Jules;3;31;1;0
Van der Planke, Mr Leon;3;15;0;0
Van der Steen, Mr Leo Peter;3;28;0;0
Van de Velde, Mr John Joseph;3;36;0;0
Vandewalle, Mr Nestor Cyriel;3;28;0;0
Van Impe, Miss Catharine;3;10;1;0
Van Impe, Mr Jean Baptiste;3;36;0;0
Van Impe, Mrs Jean Baptiste;3;30;1;0
Vartunian, Mr David;3;22;0;1
Vendel, Mr Olof Wdvin;3;29;0;0
Vereruysse, Mr Victor;3;47;0;0
Vestrom, Miss Hulda Amanda Adolfina;3;14;1;0
Vonk, Mr Jenko;3;22;0;0
Widegren, Mr Charles Peter;3;51;0;0
Wiklund, Mr Jacob Alfred;3;18;0;0
Wilkes, Mrs Ellen;3;45;1;1
Williams, Mr Leslie;3;28;0;0
Windelov, Mr Einar;3;21;0;0
Wirz, Mr Albert;3;27;0;0
Wittevrongel, Mr Camiel;3;36;0;0
Yasbeck, Mr Antoni;3;27;0;0
Yasbeck, Mrs Antoni;3;15;1;1
Zakarian, Mr Artun;3;27;0;0
Zakarian, Mr Maprieder;3;26;0;0
Zenni, Mr Philip;3;22;0;0
Lievens, Mr Rene;3;24;0;0
Zimmerman, Leo;3;29;0;0
